user_id,music_id,rating
95,15,1
28,12,1
67,24,1
54,122,1
6,21,1
91,92,1
60,47,1
78,71,1
62,115,1
86,120,1
18,78,1
86,135,1
72,111,1
93,146,1
11,13,1
43,48,1
50,20,1
2,141,1
20,24,1
74,99,1
90,124,1
67,144,1
40,122,1
96,15,1
38,118,1
74,137,1
26,11,1
29,87,1
79,134,1
79,39,1
26,0,1
5,18,1
65,95,1
41,137,1
21,130,1
58,116,1
18,20,1
80,5,1
62,149,1
56,134,1
7,42,1
38,64,1
11,8,1
78,105,1
11,2,1
78,57,1
76,146,1
80,144,1
8,128,1
54,9,1
1,97,1
94,38,1
98,49,1
58,147,1
62,82,1
88,16,1
39,147,1
34,103,1
68,5,1
80,105,1
12,120,1
92,135,1
11,142,1
17,76,1
60,44,1
85,68,1
96,32,1
90,3,1
48,60,1
96,114,1
27,51,1
22,3,1
72,14,1
28,117,1
2,145,1
33,64,1
0,32,1
92,79,1
12,116,1
10,5,1
44,134,1
9,55,1
89,22,1
53,76,1
44,16,1
86,127,1
81,121,1
42,142,1
33,124,1
99,21,1
17,0,1
66,16,1
3,103,1
8,36,1
75,47,1
13,146,1
81,112,1
20,147,1
31,82,1
4,45,1
85,68,1
61,21,1
43,99,1
20,107,1
76,31,1
87,54,1
15,62,1
46,40,1
4,95,1
20,54,1
14,80,1
36,147,1
86,97,1
34,108,1
59,12,1
61,107,1
58,121,1
46,93,1
58,53,1
4,100,1
7,149,1
87,30,1
98,133,1
25,18,1
82,58,1
37,72,1
92,17,1
53,85,1
32,46,1
88,3,1
17,26,1
35,120,1
44,99,1
91,0,1
93,8,1
56,111,1
99,36,1
98,136,1
92,21,1
3,133,1
6,132,1
12,58,1
15,140,1
49,80,1
51,22,1
69,36,1
24,122,1
45,109,1
8,130,1
27,67,1
70,16,1
98,56,1
25,98,1
16,48,1
24,145,1
64,7,1
43,0,1
35,113,1
95,0,1
38,93,1
26,149,1
80,95,1
62,64,1
23,87,1
51,19,1
67,61,1
72,39,1
44,16,1
72,66,1
47,5,1
25,96,1
65,32,1
39,107,1
12,40,1
72,71,1
52,142,1
5,82,1
52,149,1
71,58,1
73,77,1
60,96,1
91,76,1
44,96,1
94,133,1
66,4,1
67,68,1
82,36,1
43,65,1
21,18,1
39,97,1
4,86,1
72,23,1
26,27,1
32,125,1
12,8,1
5,108,1
52,47,1
13,108,1
47,14,1
90,93,1
97,10,1
37,105,1
89,38,1
33,41,1
40,27,1
29,50,1
2,22,1
2,82,1
84,126,1
89,73,1
30,122,1
59,50,1
38,81,1
76,9,1
86,116,1
40,148,1
74,144,1
56,100,1
32,117,1
40,119,1
3,88,1
26,31,1
24,92,1
51,127,1
36,120,1
51,32,1
26,97,1
82,80,1
3,27,1
46,143,1
77,97,1
86,136,1
68,66,1
8,22,1
6,96,1
2,14,1
26,18,1
73,65,1
60,136,1
63,30,1
54,126,1
4,38,1
19,95,1
